Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
germany-1963-1964,1,1963-08-24,16:00,saturday,Werder Bremen,Borussia Dortmund,3,2,5,H,W,L,1,1,2,D,D,D,http://www.worldfootball.net/report/bundesliga-1963-1964-werder-bremen-borussia-dortmund/
germany-1963-1964,1,1963-08-24,16:00,saturday,1. FC Saarbrücken,1. FC Köln,0,2,2,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-1-fc-saarbruecken-1-fc-koeln/
germany-1963-1964,1,1963-08-24,16:00,saturday,TSV 1860 München,Eintracht Braunschweig,1,1,2,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-tsv-1860-muenchen-eintracht-braunschweig/
germany-1963-1964,1,1963-08-24,16:00,saturday,Frankfurter SG Eintracht,1. FC Kaiserslautern,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/bundesliga-1963-1964-eintracht-frankfurt-1-fc-kaiserslautern/
germany-1963-1964,1,1963-08-24,16:00,saturday,FC Schalke 04,VfB Stuttgart,2,0,2,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-fc-schalke-04-vfb-stuttgart/
germany-1963-1964,1,1963-08-24,16:00,saturday,Preußen Münster,Hamburger SV,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/bundesliga-1963-1964-preussen-muenster-hamburger-sv/
germany-1963-1964,1,1963-08-24,16:00,saturday,Karlsruher SC,Meidericher SV,1,4,5,A,L,W,0,3,3,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-karlsruher-sc-msv-duisburg/
germany-1963-1964,1,1963-08-24,16:00,saturday,Hertha BSC,1. FC Nürnberg,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-hertha-bsc-1-fc-nuernberg/
germany-1963-1964,2,1963-08-31,16:00,saturday,Borussia Dortmund,TSV 1860 München,3,3,6,D,D,D,2,1,3,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-borussia-dortmund-tsv-1860-muenchen/
germany-1963-1964,2,1963-08-31,16:00,saturday,Hamburger SV,1. FC Saarbrücken,4,2,6,H,W,L,1,2,3,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-hamburger-sv-1-fc-saarbruecken/
germany-1963-1964,2,1963-08-31,16:00,saturday,1. FC Nürnberg,Werder Bremen,3,0,3,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-1-fc-nuernberg-werder-bremen/
germany-1963-1964,2,1963-08-31,16:00,saturday,1. FC Köln,Karlsruher SC,4,0,4,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-1-fc-koeln-karlsruher-sc/
germany-1963-1964,2,1963-08-31,16:00,saturday,1. FC Kaiserslautern,FC Schalke 04,2,3,5,A,L,W,1,1,2,D,D,D,http://www.worldfootball.net/report/bundesliga-1963-1964-1-fc-kaiserslautern-fc-schalke-04/
germany-1963-1964,2,1963-08-31,16:00,saturday,VfB Stuttgart,Hertha BSC,2,0,2,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-vfb-stuttgart-hertha-bsc/
germany-1963-1964,2,1963-08-31,16:00,saturday,Meidericher SV,Frankfurter SG Eintracht,3,1,4,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-msv-duisburg-eintracht-frankfurt/
germany-1963-1964,2,1963-08-31,16:00,saturday,Eintracht Braunschweig,Preußen Münster,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-eintracht-braunschweig-preussen-muenster/
germany-1963-1964,3,1963-09-07,15:30,saturday,TSV 1860 München,1. FC Köln,1,3,4,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/bundesliga-1963-1964-tsv-1860-muenchen-1-fc-koeln/
germany-1963-1964,3,1963-09-07,15:30,saturday,Karlsruher SC,Hamburger SV,0,4,4,A,L,W,0,3,3,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-karlsruher-sc-hamburger-sv/
germany-1963-1964,3,1963-09-07,15:30,saturday,Frankfurter SG Eintracht,1. FC Nürnberg,2,3,5,A,L,W,1,1,2,D,D,D,http://www.worldfootball.net/report/bundesliga-1963-1964-eintracht-frankfurt-1-fc-nuernberg/
germany-1963-1964,3,1963-09-07,15:30,saturday,FC Schalke 04,Borussia Dortmund,3,1,4,H,W,L,1,1,2,D,D,D,http://www.worldfootball.net/report/bundesliga-1963-1964-fc-schalke-04-borussia-dortmund/
germany-1963-1964,3,1963-09-07,15:30,saturday,Werder Bremen,VfB Stuttgart,2,2,4,D,D,D,1,2,3,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-werder-bremen-vfb-stuttgart/
germany-1963-1964,3,1963-09-07,15:30,saturday,Hertha BSC,1. FC Kaiserslautern,2,2,4,D,D,D,0,2,2,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-hertha-bsc-1-fc-kaiserslautern/
germany-1963-1964,3,1963-09-07,15:30,saturday,Preußen Münster,Meidericher SV,4,2,6,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-preussen-muenster-msv-duisburg/
germany-1963-1964,3,1963-09-07,15:30,saturday,1. FC Saarbrücken,Eintracht Braunschweig,2,2,4,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-1-fc-saarbruecken-eintracht-braunschweig/
germany-1963-1964,4,1963-09-14,15:30,saturday,1. FC Köln,FC Schalke 04,2,2,4,D,D,D,1,2,3,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-1-fc-koeln-fc-schalke-04/
germany-1963-1964,4,1963-09-14,15:30,saturday,1. FC Nürnberg,Preußen Münster,2,2,4,D,D,D,1,2,3,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-1-fc-nuernberg-preussen-muenster/
germany-1963-1964,4,1963-09-14,15:30,saturday,Borussia Dortmund,1. FC Saarbrücken,2,1,3,H,W,L,0,1,1,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-borussia-dortmund-1-fc-saarbruecken/
germany-1963-1964,4,1963-09-14,15:30,saturday,Hamburger SV,Frankfurter SG Eintracht,3,0,3,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-hamburger-sv-eintracht-frankfurt/
germany-1963-1964,4,1963-09-14,15:30,saturday,VfB Stuttgart,TSV 1860 München,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/bundesliga-1963-1964-vfb-stuttgart-tsv-1860-muenchen/
germany-1963-1964,4,1963-09-14,15:30,saturday,1. FC Kaiserslautern,Werder Bremen,3,0,3,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-1-fc-kaiserslautern-werder-bremen/
germany-1963-1964,4,1963-09-14,15:30,saturday,Meidericher SV,Hertha BSC,1,3,4,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-msv-duisburg-hertha-bsc/
germany-1963-1964,4,1963-09-14,15:30,saturday,Eintracht Braunschweig,Karlsruher SC,2,0,2,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-eintracht-braunschweig-karlsruher-sc/
germany-1963-1964,5,1963-09-21,15:30,saturday,FC Schalke 04,Hamburger SV,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-fc-schalke-04-hamburger-sv/
germany-1963-1964,5,1963-09-21,15:30,saturday,1. FC Saarbrücken,1. FC Nürnberg,3,5,8,A,L,W,2,2,4,D,D,D,http://www.worldfootball.net/report/bundesliga-1963-1964-1-fc-saarbruecken-1-fc-nuernberg/
germany-1963-1964,5,1963-09-21,15:30,saturday,Hertha BSC,1. FC Köln,0,3,3,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-hertha-bsc-1-fc-koeln/
germany-1963-1964,5,1963-09-21,15:30,saturday,Karlsruher SC,Borussia Dortmund,1,3,4,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/bundesliga-1963-1964-karlsruher-sc-borussia-dortmund/
germany-1963-1964,5,1963-09-21,15:30,saturday,TSV 1860 München,1. FC Kaiserslautern,3,0,3,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/bundesliga-1963-1964-tsv-1860-muenchen-1-fc-kaiserslautern/
germany-1963-1964,5,1963-09-21,15:30,saturday,Frankfurter SG Eintracht,Eintracht Braunschweig,3,0,3,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/bundesliga-1963-1964-eintracht-frankfurt-eintracht-braunschweig/
