Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
belgium-1960-1961,1,1960-09-04,,sunday,K Waterschei SV Thor Genk,Lierse SK,5,0,5,H,W,L,,,,,,,
belgium-1960-1961,1,1960-09-04,,sunday,Sint-Truidense VV,Standard Liège,0,2,2,A,L,W,,,,,,,
belgium-1960-1961,1,1960-09-04,,sunday,Olympic Club de Charleroi,RSC Anderlecht,0,7,7,A,L,W,,,,,,,
belgium-1960-1961,1,1960-09-04,,sunday,RFC de Liège,KAA Gent,2,1,3,H,W,L,,,,,,,
belgium-1960-1961,1,1960-09-04,,sunday,K.S.C. Eendracht Aalst,Royal Antwerp FC,3,2,5,H,W,L,,,,,,,
belgium-1960-1961,1,1960-09-04,,sunday,Daring Club de Bruxelles,Patro Eisden MM,2,1,3,H,W,L,,,,,,,
belgium-1960-1961,1,1960-09-04,,sunday,FC Brugeois,Union St. Gilloise,1,2,3,A,L,W,,,,,,,
belgium-1960-1961,1,1960-09-04,,sunday,Royal Beerschot AC,RCS Verviétois,1,0,1,H,W,L,,,,,,,
belgium-1960-1961,2,1960-09-11,,sunday,RCS Verviétois,K Waterschei SV Thor Genk,1,3,4,A,L,W,,,,,,,
belgium-1960-1961,2,1960-09-11,,sunday,Union St. Gilloise,Sint-Truidense VV,3,0,3,H,W,L,,,,,,,
belgium-1960-1961,2,1960-09-11,,sunday,Standard Liège,K.S.C. Eendracht Aalst,3,0,3,H,W,L,,,,,,,
belgium-1960-1961,2,1960-09-11,,sunday,Patro Eisden MM,FC Brugeois,1,1,2,D,D,D,,,,,,,
belgium-1960-1961,2,1960-09-11,,sunday,Lierse SK,Olympic Club de Charleroi,1,0,1,H,W,L,,,,,,,
belgium-1960-1961,2,1960-09-11,,sunday,KAA Gent,Royal Beerschot AC,3,0,3,H,W,L,,,,,,,
belgium-1960-1961,2,1960-09-11,,sunday,Royal Antwerp FC,Daring Club de Bruxelles,2,3,5,A,L,W,,,,,,,
belgium-1960-1961,2,1960-09-11,,sunday,RSC Anderlecht,RFC de Liège,2,3,5,A,L,W,,,,,,,
belgium-1960-1961,3,1960-09-18,,sunday,K Waterschei SV Thor Genk,RFC de Liège,0,1,1,A,L,W,,,,,,,
belgium-1960-1961,3,1960-09-18,,sunday,Union St. Gilloise,Royal Antwerp FC,0,1,1,A,L,W,,,,,,,
belgium-1960-1961,3,1960-09-18,,sunday,Standard Liège,Olympic Club de Charleroi,0,0,0,D,D,D,0,0,0,D,D,D,
belgium-1960-1961,3,1960-09-18,,sunday,Sint-Truidense VV,Patro Eisden MM,2,0,2,H,W,L,,,,,,,
belgium-1960-1961,3,1960-09-18,,sunday,K.S.C. Eendracht Aalst,RSC Anderlecht,0,0,0,D,D,D,0,0,0,D,D,D,
belgium-1960-1961,3,1960-09-18,,sunday,Daring Club de Bruxelles,KAA Gent,3,1,4,H,W,L,,,,,,,
belgium-1960-1961,3,1960-09-18,,sunday,FC Brugeois,RCS Verviétois,1,1,2,D,D,D,,,,,,,
