Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
liechtenstein-2008-2009,Quarter-finals,2008-10-21,19:00,200810211900,tuesday,FC Ruggell,USV Eschen/Mauren,0,5,5,A,L,W,,,,,,,
liechtenstein-2008-2009,Quarter-finals,2008-10-22,19:00,200810221900,wednesday,FC Balzers II,FC Vaduz,0,8,8,A,L,W,,,,,,,
liechtenstein-2008-2009,Quarter-finals,2008-10-28,18:30,200810281830,tuesday,FC Azzurri Schaan,FC Balzers,0,1,1,A,L,W,,,,,,,
liechtenstein-2008-2009,Quarter-finals,2008-10-29,19:00,200810291900,wednesday,FC Vaduz Portuguese,FC Schaan,0,8,8,A,L,W,,,,,,,
liechtenstein-2008-2009,Semi-finals,2009-04-28,18:30,200904281830,tuesday,FC Schaan,USV Eschen/Mauren,0,5,5,A,L,W,,,,,,,
liechtenstein-2008-2009,Semi-finals,2009-04-29,18:30,200904291830,wednesday,FC Balzers,FC Vaduz,0,5,5,A,L,W,,,,,,,
liechtenstein-2008-2009,Final,2009-05-21,16:00,200905211600,thursday,FC Vaduz,USV Eschen/Mauren,2,1,3,H,W,L,,,,,,,
liechtenstein-2009-2010,1,2009-08-18,19:00,200908181900,tuesday,FC Balzers III,FC Vaduz Portuguese,2,1,3,H,W,L,,,,,,,
liechtenstein-2009-2010,1,2009-08-18,19:00,200908181900,tuesday,USV Eschen/Mauren II,FC Triesen,3,2,5,H,W,L,,,,,,,
liechtenstein-2009-2010,1,2009-08-18,19:00,200908181900,tuesday,FC Ruggell II,FC Triesen II,2,4,6,A,L,W,,,,,,,
liechtenstein-2009-2010,1,2009-08-19,18:30,200908191830,wednesday,FC Triesenberg II,FC Azzurri Schaan,0,6,6,A,L,W,,,,,,,
liechtenstein-2009-2010,1,2009-08-19,19:00,200908191900,wednesday,USV Eschen/Mauren III,FC Vaduz II,4,6,10,A,L,W,,,,,,,
liechtenstein-2009-2010,1,2009-08-19,19:00,200908191900,wednesday,FC Vaduz IV,FC Triesenberg,0,3,3,A,L,W,,,,,,,
liechtenstein-2009-2010,2,2009-09-15,19:00,200909151900,tuesday,FC Azzurri Schaan,FC Triesenberg,0,3,3,A,L,W,,,,,,,
liechtenstein-2009-2010,2,2009-09-15,19:15,200909151915,tuesday,FC Triesen II,FC Balzers II,0,3,3,A,L,W,,,,,,,
liechtenstein-2009-2010,2,2009-09-16,19:00,200909161900,wednesday,FC Vaduz II,FC Ruggell,1,9,10,A,L,W,,,,,,,
liechtenstein-2009-2010,2,2009-09-23,19:00,200909231900,wednesday,FC Balzers III,USV Eschen/Mauren II,0,6,6,A,L,W,,,,,,,
liechtenstein-2009-2010,Quarter-finals,2009-10-20,19:00,200910201900,tuesday,FC Balzers II,FC Vaduz,0,8,8,A,L,W,,,,,,,
liechtenstein-2009-2010,Quarter-finals,2009-10-21,19:00,200910211900,wednesday,USV Eschen/Mauren II,FC Schaan,1,0,1,H,W,L,,,,,,,
liechtenstein-2009-2010,Quarter-finals,2009-10-27,18:00,200910271800,tuesday,FC Ruggell,FC Balzers,2,4,6,A,L,W,,,,,,,
liechtenstein-2009-2010,Quarter-finals,2009-10-28,19:00,200910281900,wednesday,FC Triesenberg,USV Eschen/Mauren,0,3,3,A,L,W,,,,,,,
liechtenstein-2009-2010,Semi-finals,2010-04-06,18:00,201004061800,tuesday,USV Eschen/Mauren II,USV Eschen/Mauren,2,6,8,A,L,W,,,,,,,
liechtenstein-2009-2010,Semi-finals,2010-04-06,19:00,201004061900,tuesday,FC Balzers,FC Vaduz,0,4,4,A,L,W,,,,,,,
liechtenstein-2009-2010,Final,2010-05-13,16:00,201005131600,thursday,FC Vaduz,USV Eschen/Mauren,4,2,6,H,W,L,,,,,,,
liechtenstein-2010-2011,1,2010-08-17,19:00,201008171900,tuesday,USV Eschen/Mauren III,FC Triesenberg II,5,1,6,H,W,L,,,,,,,
liechtenstein-2010-2011,1,2010-08-17,19:00,201008171900,tuesday,FC Vaduz Portuguese,FC Triesen II,1,3,4,A,L,W,,,,,,,
liechtenstein-2010-2011,1,2010-08-17,19:00,201008171900,tuesday,FC Balzers III,FC Ruggell II,4,2,6,H,W,L,,,,,,,
liechtenstein-2010-2011,1,2010-08-18,19:00,201008181900,wednesday,FC Vaduz III,FC Triesen,0,5,5,A,L,W,,,,,,,
liechtenstein-2010-2011,1,2010-08-18,19:00,201008181900,wednesday,FC Azzurri Schaan,FC Balzers II,5,2,7,H,W,L,,,,,,,
